"TF","HMVL_HUB098","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"MEF2C","2.287682998612055485","2.287682998612055485","2.287682998612055485","Activated","60","viper","60","2.287682998612055485",NA,NA,"5","ENCODE--ChIP-seq(rank=45); Enrichr--Queries(rank=85); ARCHS4--Coexpression(rank=114); ReMap--ChIP-seq(rank=215); GTEx--Coexpression(rank=844)","241","0.060539999999999997","Enrichr Queries,0.06054"
"ZNF263","2.269045214480043704","2.269045214480043704","2.269045214480043704","Activated","61","viper","61","2.269045214480043704",NA,NA,"6","ENCODE--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=93); Literature--ChIP-seq(rank=160); Enrichr--Queries(rank=1215); ARCHS4--Coexpression(rank=1300); GTEx--Coexpression(rank=1571)","921","0.313099999999999989","ReMap ChIP-seq,0.3131"
"KLF1","-2.225623219896351479","-2.225623219896351479","2.225623219896351479","Repressed","62","viper","62","2.225623219896351479",NA,NA,"5","Literature--ChIP-seq(rank=67); ReMap--ChIP-seq(rank=208); ARCHS4--Coexpression(rank=1015); Enrichr--Queries(rank=1159); GTEx--Coexpression(rank=1199)","1112","0.408499999999999974","Literature ChIP-seq,0.4085"
"KMT2A","-2.196419113861637129","-2.196419113861637129","2.196419113861637129","Repressed","63","viper","63","2.196419113861637129",NA,NA,"3","ReMap--ChIP-seq(rank=202); GTEx--Coexpression(rank=730); ARCHS4--Coexpression(rank=764)","1191","0.454299999999999982","GTEx Coexpression,0.4543"
"MXI1","2.159280630744834895","2.159280630744834895","2.159280630744834895","Activated","64","viper","64","2.159280630744834895",NA,NA,"5","ENCODE--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=122); GTEx--Coexpression(rank=224); Enrichr--Queries(rank=457); ARCHS4--Coexpression(rank=573)","495","0.139399999999999996","GTEx Coexpression,0.1394"
"CREB3","-2.136508091264732734","-2.136508091264732734","2.136508091264732734","Repressed","65","viper","65","2.136508091264732734",NA,NA,"4","ReMap--ChIP-seq(rank=124); ARCHS4--Coexpression(rank=875); GTEx--Coexpression(rank=939); Enrichr--Queries(rank=941)","1131","0.417499999999999982","ReMap ChIP-seq,0.4175"
"TAL1","2.124940769149656017","2.124940769149656017","2.124940769149656017","Activated","66","viper","66","2.124940769149656017",NA,NA,"6","ENCODE--ChIP-seq(rank=58); Literature--ChIP-seq(rank=108); ReMap--ChIP-seq(rank=123); ARCHS4--Coexpression(rank=715); Enrichr--Queries(rank=884); GTEx--Coexpression(rank=1079)","1125","0.414100000000000024","ReMap ChIP-seq,0.4141"
"MAFG","2.101757949301942041","2.101757949301942041","2.101757949301942041","Activated","67","viper","67","2.101757949301942041",NA,NA,"4","ReMap--ChIP-seq(rank=271); Enrichr--Queries(rank=514); GTEx--Coexpression(rank=1159); ARCHS4--Coexpression(rank=1202)","1029","0.366099999999999981","Enrichr Queries,0.3661"
"NRF1","-2.092126910347087421","-2.092126910347087421","2.092126910347087421","Repressed","68","viper","68","2.092126910347087421",NA,NA,"5","ENCODE--ChIP-seq(rank=84); ReMap--ChIP-seq(rank=179); ARCHS4--Coexpression(rank=689); Enrichr--Queries(rank=1236); GTEx--Coexpression(rank=1366)","1142","0.423200000000000021","ARCHS4 Coexpression,0.4232"
"PBX3","2.078271451310928164","2.078271451310928164","2.078271451310928164","Activated","69","viper","69","2.078271451310928164",NA,NA,"5","Enrichr--Queries(rank=21); ENCODE--ChIP-seq(rank=50); ReMap--ChIP-seq(rank=91); ARCHS4--Coexpression(rank=166); GTEx--Coexpression(rank=549)","70","0.014959999999999999","Enrichr Queries,0.01496"
"SREBF2","-2.056786599504999202","-2.056786599504999202","2.056786599504999202","Repressed","70","viper","70","2.056786599504999202",NA,NA,"6","ENCODE--ChIP-seq(rank=89); Literature--ChIP-seq(rank=147); ReMap--ChIP-seq(rank=175); GTEx--Coexpression(rank=657); Enrichr--Queries(rank=964); ARCHS4--Coexpression(rank=1621)","1114","0.408799999999999997","GTEx Coexpression,0.4088"
"AHR","2.028308917569250358","2.028308917569250358","2.028308917569250358","Activated","71","viper","71","2.028308917569250358",NA,NA,"5","Enrichr--Queries(rank=5); ARCHS4--Coexpression(rank=32); Literature--ChIP-seq(rank=51); GTEx--Coexpression(rank=129); ReMap--ChIP-seq(rank=228)","16","0.003561000000000000","Enrichr Queries,0.003561"
"IRF1","2.026807602069065961","2.026807602069065961","2.026807602069065961","Activated","72","viper","72","2.026807602069065961",NA,NA,"6","ReMap--ChIP-seq(rank=34); ENCODE--ChIP-seq(rank=100); Literature--ChIP-seq(rank=104); Enrichr--Queries(rank=610); ARCHS4--Coexpression(rank=880); GTEx--Coexpression(rank=927)","416","0.114500000000000005","ReMap ChIP-seq,0.1145"
"FOXJ2","2.024887246542031338","2.024887246542031338","2.024887246542031338","Activated","73","viper","73","2.024887246542031338",NA,NA,"4","ReMap--ChIP-seq(rank=212); GTEx--Coexpression(rank=682); Enrichr--Queries(rank=976); ARCHS4--Coexpression(rank=1283)","1143","0.424399999999999999","GTEx Coexpression,0.4244"
"RELA","2.011363613037197240","2.011363613037197240","2.011363613037197240","Activated","74","viper","74","2.011363613037197240",NA,NA,"6","Literature--ChIP-seq(rank=21); ENCODE--ChIP-seq(rank=66); ReMap--ChIP-seq(rank=87); Enrichr--Queries(rank=963); GTEx--Coexpression(rank=1064); ARCHS4--Coexpression(rank=1095)","460","0.128000000000000003","Literature ChIP-seq,0.128"
"ZNF740","-1.970135713341360173","-1.970135713341360173","1.970135713341360173","Repressed","75","viper","75","1.970135713341360173",NA,NA,"4","ReMap--ChIP-seq(rank=107); Enrichr--Queries(rank=1025); GTEx--Coexpression(rank=1395); ARCHS4--Coexpression(rank=1445)","1019","0.360300000000000009","ReMap ChIP-seq,0.3603"
