"TF","Score","Activity_Score_Mean","Method_P_Value","Condition_Scores","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"NKX2-1","0.643702062757375071","-0.643702062757375071","0.5197686520617296190849287996","HMVL_TOR10=-0.6437","Repressed","439","collectri","439","0.643702062757375071",NA,"0","",NA,NA,NA
"MYBL1","0.643065415771756688","0.643065415771756688","0.5201816541456401044030144476","HMVL_TOR10=0.6431","Activated","440","collectri","440","0.643065415771756688",NA,"4","Enrichr--Queries(rank=12); Literature--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=19); GTEx--Coexpression(rank=201)","25","0.008547000000000001","Enrichr Queries,0.008547"
"SIRT1","0.637062676693035290","0.637062676693035290","0.5240840186305601999805503510","HMVL_TOR10=0.6371","Activated","441","collectri","441","0.637062676693035290",NA,"0","",NA,NA,NA
"CLOCK","0.635010722614056777","-0.635010722614056777","0.5254214217319822521901073742","HMVL_TOR10=-0.635","Repressed","442","collectri","442","0.635010722614056777",NA,"5","ReMap--ChIP-seq(rank=134); Literature--ChIP-seq(rank=157); GTEx--Coexpression(rank=1306); Enrichr--Queries(rank=1352); ARCHS4--Coexpression(rank=1435)","1272","0.451199999999999990","ReMap ChIP-seq,0.4512"
"ZFPM2","0.631313232421690795","-0.631313232421690795","0.5278357365419980018472756456","HMVL_TOR10=-0.6313","Repressed","443","collectri","443","0.631313232421690795",NA,"3","GTEx--Coexpression(rank=861); Enrichr--Queries(rank=909); ARCHS4--Coexpression(rank=986)","1391","0.535800000000000054","GTEx Coexpression,0.5358"
"KLF11","0.623003653547215763","0.623003653547215763","0.5332821209451443777993517870","HMVL_TOR10=0.623","Activated","444","collectri","444","0.623003653547215763",NA,"3","Enrichr--Queries(rank=232); GTEx--Coexpression(rank=404); ARCHS4--Coexpression(rank=1340)","598","0.165200000000000014","Enrichr Queries,0.1652"
"NR4A3","0.620183024571160146","0.620183024571160146","0.5351372962686156142808613367","HMVL_TOR10=0.6202","Activated","445","collectri","445","0.620183024571160146",NA,"3","ARCHS4--Coexpression(rank=148); Enrichr--Queries(rank=276); GTEx--Coexpression(rank=596)","342","0.090910000000000005","ARCHS4 Coexpression,0.09091"
"NFIC","0.617415296875585495","-0.617415296875585495","0.5369608348825686272576263036","HMVL_TOR10=-0.6174","Repressed","446","collectri","446","0.617415296875585495",NA,"5","ENCODE--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=196); Enrichr--Queries(rank=868); ARCHS4--Coexpression(rank=1005); GTEx--Coexpression(rank=1322)","1037","0.322000000000000008","ENCODE ChIP-seq,0.322"
"BACH2","0.614974763247891021","-0.614974763247891021","0.5385713870013729698271731650","HMVL_TOR10=-0.615","Repressed","447","collectri","447","0.614974763247891021",NA,"4","ReMap--ChIP-seq(rank=144); Enrichr--Queries(rank=504); GTEx--Coexpression(rank=864); ARCHS4--Coexpression(rank=1404)","1127","0.358999999999999986","Enrichr Queries,0.359"
"HSF2","0.611447084667891216","-0.611447084667891216","0.5409036394895926358472593165","HMVL_TOR10=-0.6114","Repressed","448","collectri","448","0.611447084667891216",NA,"3","Enrichr--Queries(rank=126); GTEx--Coexpression(rank=1014); ARCHS4--Coexpression(rank=1050)","338","0.089740000000000000","Enrichr Queries,0.08974"
"FOXO1","0.609145769270528104","0.609145769270528104","0.5424278224698519945690122768","HMVL_TOR10=0.6091","Activated","449","collectri","449","0.609145769270528104",NA,"5","Literature--ChIP-seq(rank=37); ReMap--ChIP-seq(rank=91); ARCHS4--Coexpression(rank=249); Enrichr--Queries(rank=572); GTEx--Coexpression(rank=665)","560","0.152900000000000008","ARCHS4 Coexpression,0.1529"
