"TF","HVL_ALL","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"FOS","0.20232371992453027","0.20232371992453027","0.20232371992453027","Activated","239","viper","239","0.20232371992453027",NA,NA,"5","ENCODE--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=280); ARCHS4--Coexpression(rank=319); Enrichr--Queries(rank=680); GTEx--Coexpression(rank=799)","192","0.05085000000000000","ENCODE ChIP-seq,0.05085"
"PAX6","-0.20100510914272393","-0.20100510914272393","0.20100510914272393","Repressed","240","viper","240","0.20100510914272393",NA,NA,"5","Literature--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=181); GTEx--Coexpression(rank=637); Enrichr--Queries(rank=1118); ARCHS4--Coexpression(rank=1280)","1099","0.35980000000000001","Literature ChIP-seq,0.3598"
"MXI1","-0.19871423305335872","-0.19871423305335872","0.19871423305335872","Repressed","241","viper","241","0.19871423305335872",NA,NA,"5","ENCODE--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=47); GTEx--Coexpression(rank=437); ARCHS4--Coexpression(rank=465); Enrichr--Queries(rank=489)","347","0.09322000000000000","ENCODE ChIP-seq,0.09322"
"ZEB1","0.19499506319226284","0.19499506319226284","0.19499506319226284","Activated","242","viper","242","0.19499506319226284",NA,NA,"5","ENCODE--ChIP-seq(rank=104); ReMap--ChIP-seq(rank=128); ARCHS4--Coexpression(rank=829); GTEx--Coexpression(rank=1181); Enrichr--Queries(rank=1264)","1231","0.43099999999999999","ReMap ChIP-seq,0.431"
"STAT5A","0.17564678455312938","0.17564678455312938","0.17564678455312938","Activated","243","viper","243","0.17564678455312938",NA,NA,"6","ENCODE--ChIP-seq(rank=91); ReMap--ChIP-seq(rank=124); Literature--ChIP-seq(rank=146); Enrichr--Queries(rank=841); ARCHS4--Coexpression(rank=1195); GTEx--Coexpression(rank=1279)","1204","0.41749999999999998","ReMap ChIP-seq,0.4175"
"XBP1","0.17101198746985377","0.17101198746985377","0.17101198746985377","Activated","244","viper","244","0.17101198746985377",NA,NA,"4","ReMap--ChIP-seq(rank=194); Enrichr--Queries(rank=512); ARCHS4--Coexpression(rank=1177); GTEx--Coexpression(rank=1448)","1112","0.36470000000000002","Enrichr Queries,0.3647"
"NR2F6","0.16972186560113103","0.16972186560113103","0.16972186560113103","Activated","245","viper","245","0.16972186560113103",NA,NA,"4","ReMap--ChIP-seq(rank=153); Enrichr--Queries(rank=179); ARCHS4--Coexpression(rank=258); GTEx--Coexpression(rank=419)","467","0.12750000000000000","Enrichr Queries,0.1275"
"FOSL1","0.16530664857602281","0.16530664857602281","0.16530664857602281","Activated","246","viper","246","0.16530664857602281",NA,NA,"5","ENCODE--ChIP-seq(rank=76); Enrichr--Queries(rank=90); GTEx--Coexpression(rank=209); ARCHS4--Coexpression(rank=213); ReMap--ChIP-seq(rank=240)","240","0.06410000000000000","Enrichr Queries,0.0641"
"DUX4","0.15072863224424016","0.15072863224424016","0.15072863224424016","Activated","247","viper","247","0.15072863224424016",NA,NA,"2","ReMap--ChIP-seq(rank=241); ARCHS4--Coexpression(rank=1277)","1577","0.78439999999999999","ARCHS4 Coexpression,0.7844"
"ELF1","-0.14691906005244215","-0.14691906005244215","0.14691906005244215","Repressed","248","viper","248","0.14691906005244215",NA,NA,"5","ENCODE--ChIP-seq(rank=43); ReMap--ChIP-seq(rank=62); Literature--ChIP-seq(rank=99); GTEx--Coexpression(rank=724); ARCHS4--Coexpression(rank=936)","728","0.20880000000000001","ReMap ChIP-seq,0.2088"
"PPARG","0.13824648867524073","0.13824648867524073","0.13824648867524073","Activated","249","viper","249","0.13824648867524073",NA,NA,"5","Literature--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=277); Enrichr--Queries(rank=749); GTEx--Coexpression(rank=1481); ARCHS4--Coexpression(rank=1534)","566","0.15850000000000000","Literature ChIP-seq,0.1585"
"STAT3","0.13438830661940623","0.13438830661940623","0.13438830661940623","Activated","250","viper","250","0.13438830661940623",NA,NA,"6","ENCODE--ChIP-seq(rank=31); Literature--ChIP-seq(rank=46); ReMap--ChIP-seq(rank=157); ARCHS4--Coexpression(rank=317); GTEx--Coexpression(rank=424); Enrichr--Queries(rank=1042)","680","0.19470000000000001","ARCHS4 Coexpression,0.1947"
"USF1","-0.13327286998099422","-0.13327286998099422","0.13327286998099422","Repressed","251","viper","251","0.13327286998099422",NA,NA,"5","ReMap--ChIP-seq(rank=28); ENCODE--ChIP-seq(rank=37); Enrichr--Queries(rank=418); GTEx--Coexpression(rank=731); ARCHS4--Coexpression(rank=927)","351","0.09428000000000000","ReMap ChIP-seq,0.09428"
"GATA2","-0.13221168118116045","-0.13221168118116045","0.13221168118116045","Repressed","252","viper","252","0.13221168118116045",NA,NA,"6","Literature--ChIP-seq(rank=86); ENCODE--ChIP-seq(rank=90); ARCHS4--Coexpression(rank=159); ReMap--ChIP-seq(rank=265); GTEx--Coexpression(rank=656); Enrichr--Queries(rank=829)","361","0.09767000000000001","ARCHS4 Coexpression,0.09767"
"TCF7L2","0.11204311111043871","0.11204311111043871","0.11204311111043871","Activated","253","viper","253","0.11204311111043871",NA,NA,"6","ENCODE--ChIP-seq(rank=21); Literature--ChIP-seq(rank=120); ReMap--ChIP-seq(rank=166); ARCHS4--Coexpression(rank=440); GTEx--Coexpression(rank=1039); Enrichr--Queries(rank=1135)","632","0.17799999999999999","ENCODE ChIP-seq,0.178"
"SREBF1","-0.10249724700691026","-0.10249724700691026","0.10249724700691026","Repressed","254","viper","254","0.10249724700691026",NA,NA,"6","ENCODE--ChIP-seq(rank=86); Literature--ChIP-seq(rank=115); ReMap--ChIP-seq(rank=115); GTEx--Coexpression(rank=441); Enrichr--Queries(rank=753); ARCHS4--Coexpression(rank=1093)","899","0.27439999999999998","GTEx Coexpression,0.2744"
"FLI1","0.10067153435786480","0.10067153435786480","0.10067153435786480","Activated","255","viper","255","0.10067153435786480",NA,NA,"6","ENCODE--ChIP-seq(rank=5); Literature--ChIP-seq(rank=45); ReMap--ChIP-seq(rank=139); GTEx--Coexpression(rank=930); ARCHS4--Coexpression(rank=1160); Enrichr--Queries(rank=1260)","155","0.04237000000000000","ENCODE ChIP-seq,0.04237"
"CEBPD","-0.07598592241014986","-0.07598592241014986","0.07598592241014986","Repressed","256","viper","256","0.07598592241014986",NA,NA,"5","ReMap--ChIP-seq(rank=72); ENCODE--ChIP-seq(rank=77); Literature--ChIP-seq(rank=135); GTEx--Coexpression(rank=491); ARCHS4--Coexpression(rank=1399)","811","0.24240000000000000","ReMap ChIP-seq,0.2424"
"SOX9","0.05545441200184620","0.05545441200184620","0.05545441200184620","Activated","257","viper","257","0.05545441200184620",NA,NA,"5","ReMap--ChIP-seq(rank=61); Literature--ChIP-seq(rank=82); Enrichr--Queries(rank=827); GTEx--Coexpression(rank=1201); ARCHS4--Coexpression(rank=1440)","715","0.20540000000000000","ReMap ChIP-seq,0.2054"
"ZNF592","-0.04814578379725539","-0.04814578379725539","0.04814578379725539","Repressed","258","viper","258","0.04814578379725539",NA,NA,"4","ReMap--ChIP-seq(rank=248); GTEx--Coexpression(rank=373); Enrichr--Queries(rank=699); ARCHS4--Coexpression(rank=1504)","790","0.23210000000000000","GTEx Coexpression,0.2321"
"GABPA","-0.04215363749625323","-0.04215363749625323","0.04215363749625323","Repressed","259","viper","259","0.04215363749625323",NA,NA,"6","ENCODE--ChIP-seq(rank=46); Literature--ChIP-seq(rank=161); ReMap--ChIP-seq(rank=168); Enrichr--Queries(rank=213); ARCHS4--Coexpression(rank=294); GTEx--Coexpression(rank=1179)","543","0.15170000000000000","Enrichr Queries,0.1517"
"EPAS1","-0.03833284384067962","-0.03833284384067962","0.03833284384067962","Repressed","260","viper","260","0.03833284384067962",NA,NA,"4","ReMap--ChIP-seq(rank=243); GTEx--Coexpression(rank=843); Enrichr--Queries(rank=1048); ARCHS4--Coexpression(rank=1360)","1369","0.52459999999999996","GTEx Coexpression,0.5246"
"HSF1","0.03796545913995851","0.03796545913995851","0.03796545913995851","Activated","261","viper","261","0.03796545913995851",NA,NA,"5","Literature--ChIP-seq(rank=48); ENCODE--ChIP-seq(rank=93); ReMap--ChIP-seq(rank=177); ARCHS4--Coexpression(rank=526); GTEx--Coexpression(rank=1449)","949","0.29270000000000002","Literature ChIP-seq,0.2927"
"ATF4","-0.01459111762685138","-0.01459111762685138","0.01459111762685138","Repressed","262","viper","262","0.01459111762685138",NA,NA,"4","ARCHS4--Coexpression(rank=215); GTEx--Coexpression(rank=232); ReMap--ChIP-seq(rank=254); Enrichr--Queries(rank=562)","481","0.13210000000000000","ARCHS4 Coexpression,0.1321"
"ZNF384","0.01347314944214526","0.01347314944214526","0.01347314944214526","Activated","263","viper","263","0.01347314944214526",NA,NA,"5","ReMap--ChIP-seq(rank=23); ENCODE--ChIP-seq(rank=32); Enrichr--Queries(rank=185); ARCHS4--Coexpression(rank=405); GTEx--Coexpression(rank=1336)","290","0.07743999999999999","ReMap ChIP-seq,0.07744"
"ARNTL","0.01200619983224535","0.01200619983224535","0.01200619983224535","Activated","264","viper","264","0.01200619983224535",NA,NA,"4","ReMap--ChIP-seq(rank=212); GTEx--Coexpression(rank=562); Enrichr--Queries(rank=795); ARCHS4--Coexpression(rank=1235)","1073","0.34970000000000001","GTEx Coexpression,0.3497"
