"TF","HVL_CRC29","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"BATF","-0.20880016979784127","-0.20880016979784127","0.20880016979784127","Repressed","239","viper","239","0.20880016979784127",NA,NA,"5","ENCODE--ChIP-seq(rank=118); ReMap--ChIP-seq(rank=264); ARCHS4--Coexpression(rank=382); Enrichr--Queries(rank=533); GTEx--Coexpression(rank=559)","810","0.23460000000000000","ARCHS4 Coexpression,0.2346"
"DUX4","-0.19417179847383001","-0.19417179847383001","0.19417179847383001","Repressed","240","viper","240","0.19417179847383001",NA,NA,"2","ReMap--ChIP-seq(rank=295); ARCHS4--Coexpression(rank=1478)","1613","0.90790000000000004","ARCHS4 Coexpression,0.9079"
"GATA1","0.18508292564640935","0.18508292564640935","0.18508292564640935","Activated","241","viper","241","0.18508292564640935",NA,NA,"6","ENCODE--ChIP-seq(rank=35); Literature--ChIP-seq(rank=81); ReMap--ChIP-seq(rank=235); Enrichr--Queries(rank=837); ARCHS4--Coexpression(rank=868); GTEx--Coexpression(rank=1493)","970","0.29659999999999992","ENCODE ChIP-seq,0.2966"
"MNT","-0.18467937028002585","-0.18467937028002585","0.18467937028002585","Repressed","242","viper","242","0.18467937028002585",NA,NA,"4","ReMap--ChIP-seq(rank=129); ARCHS4--Coexpression(rank=709); GTEx--Coexpression(rank=936); Enrichr--Queries(rank=969)","1234","0.43430000000000002","ReMap ChIP-seq,0.4343"
"MAF","-0.18012154899975083","-0.18012154899975083","0.18012154899975083","Repressed","243","viper","243","0.18012154899975083",NA,NA,"4","ReMap--ChIP-seq(rank=113); Enrichr--Queries(rank=425); ARCHS4--Coexpression(rank=837); GTEx--Coexpression(rank=1345)","983","0.30270000000000002","Enrichr Queries,0.3027"
"MITF","0.17742194327007788","0.17742194327007788","0.17742194327007788","Activated","244","viper","244","0.17742194327007788",NA,NA,"5","Literature--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=154); Enrichr--Queries(rank=203); ARCHS4--Coexpression(rank=807); GTEx--Coexpression(rank=1390)","535","0.14460000000000001","Enrichr Queries,0.1446"
"TP63","0.17391076070602693","0.17391076070602693","0.17391076070602693","Activated","245","viper","245","0.17391076070602693",NA,NA,"5","ReMap--ChIP-seq(rank=47); Literature--ChIP-seq(rank=74); Enrichr--Queries(rank=244); ARCHS4--Coexpression(rank=414); GTEx--Coexpression(rank=944)","582","0.15820000000000001","ReMap ChIP-seq,0.1582"
"HBP1","-0.16332693341924681","-0.16332693341924681","0.16332693341924681","Repressed","246","viper","246","0.16332693341924681",NA,NA,"4","ReMap--ChIP-seq(rank=76); ARCHS4--Coexpression(rank=127); Enrichr--Queries(rank=280); GTEx--Coexpression(rank=614)","300","0.07801000000000000","ARCHS4 Coexpression,0.07801"
"GABPA","-0.16138368621085084","-0.16138368621085084","0.16138368621085084","Repressed","247","viper","247","0.16138368621085084",NA,NA,"6","ENCODE--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=79); Literature--ChIP-seq(rank=108); ARCHS4--Coexpression(rank=579); Enrichr--Queries(rank=986); GTEx--Coexpression(rank=1165)","896","0.26600000000000001","ReMap ChIP-seq,0.266"
"USF2","0.14559195743230699","0.14559195743230699","0.14559195743230699","Activated","248","viper","248","0.14559195743230699",NA,NA,"5","ENCODE--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=26); GTEx--Coexpression(rank=965); Enrichr--Queries(rank=985); ARCHS4--Coexpression(rank=1412)","334","0.08754000000000001","ReMap ChIP-seq,0.08754"
"ZEB2","-0.13876854393370355","-0.13876854393370355","0.13876854393370355","Repressed","249","viper","249","0.13876854393370355",NA,NA,"4","ReMap--ChIP-seq(rank=179); Enrichr--Queries(rank=636); ARCHS4--Coexpression(rank=788); GTEx--Coexpression(rank=1031)","1273","0.45300000000000001","Enrichr Queries,0.453"
"MEF2C","0.13489527930736528","0.13489527930736528","0.13489527930736528","Activated","250","viper","250","0.13489527930736528",NA,NA,"5","ENCODE--ChIP-seq(rank=116); ReMap--ChIP-seq(rank=280); Enrichr--Queries(rank=563); ARCHS4--Coexpression(rank=1107); GTEx--Coexpression(rank=1319)","1180","0.40100000000000002","Enrichr Queries,0.401"
"NFKB2","0.13486778954697157","0.13486778954697157","0.13486778954697157","Activated","251","viper","251","0.13486778954697157",NA,NA,"4","GTEx--Coexpression(rank=177); Enrichr--Queries(rank=216); ReMap--ChIP-seq(rank=282); ARCHS4--Coexpression(rank=314)","417","0.11010000000000000","GTEx Coexpression,0.1101"
"ZNF592","-0.10256259232300428","-0.10256259232300428","0.10256259232300428","Repressed","252","viper","252","0.10256259232300428",NA,NA,"4","ReMap--ChIP-seq(rank=197); GTEx--Coexpression(rank=1039); Enrichr--Queries(rank=1275); ARCHS4--Coexpression(rank=1360)","1487","0.64649999999999996","GTEx Coexpression,0.6465"
"PAX5","0.10066060944638412","0.10066060944638412","0.10066060944638412","Activated","253","viper","253","0.10066060944638412",NA,NA,"5","ReMap--ChIP-seq(rank=18); GTEx--Coexpression(rank=54); ENCODE--ChIP-seq(rank=97); ARCHS4--Coexpression(rank=205); Enrichr--Queries(rank=1048)","126","0.03360000000000000","GTEx Coexpression,0.0336"
"FOXP2","0.09377642685148849","0.09377642685148849","0.09377642685148849","Activated","254","viper","254","0.09377642685148849",NA,NA,"6","ReMap--ChIP-seq(rank=45); ENCODE--ChIP-seq(rank=108); Literature--ChIP-seq(rank=114); GTEx--Coexpression(rank=477); Enrichr--Queries(rank=1021); ARCHS4--Coexpression(rank=1453)","562","0.15150000000000000","ReMap ChIP-seq,0.1515"
"CEBPD","-0.09088736808109868","-0.09088736808109868","0.09088736808109868","Repressed","255","viper","255","0.09088736808109868",NA,NA,"5","ReMap--ChIP-seq(rank=39); ENCODE--ChIP-seq(rank=98); Literature--ChIP-seq(rank=150); GTEx--Coexpression(rank=158); ARCHS4--Coexpression(rank=279)","375","0.09832000000000000","GTEx Coexpression,0.09832"
"ELF1","-0.07996414554192763","-0.07996414554192763","0.07996414554192763","Repressed","256","viper","256","0.07996414554192763",NA,NA,"5","ReMap--ChIP-seq(rank=44); ENCODE--ChIP-seq(rank=84); Literature--ChIP-seq(rank=88); GTEx--Coexpression(rank=329); ARCHS4--Coexpression(rank=595)","549","0.14810000000000001","ReMap ChIP-seq,0.1481"
"MEF2B","-0.05976055794943613","-0.05976055794943613","0.05976055794943613","Repressed","257","viper","257","0.05976055794943613",NA,NA,"4","Enrichr--Queries(rank=152); ReMap--ChIP-seq(rank=278); ARCHS4--Coexpression(rank=289); GTEx--Coexpression(rank=615)","408","0.10829999999999999","Enrichr Queries,0.1083"
"STAT6","0.05226583853683376","0.05226583853683376","0.05226583853683376","Activated","258","viper","258","0.05226583853683376",NA,NA,"4","Literature--ChIP-seq(rank=83); Enrichr--Queries(rank=253); ARCHS4--Coexpression(rank=327); GTEx--Coexpression(rank=733)","650","0.18020000000000000","Enrichr Queries,0.1802"
"NR2F6","-0.04572950920341946","-0.04572950920341946","0.04572950920341946","Repressed","259","viper","259","0.04572950920341946",NA,NA,"4","ReMap--ChIP-seq(rank=114); GTEx--Coexpression(rank=209); Enrichr--Queries(rank=246); ARCHS4--Coexpression(rank=566)","484","0.13009999999999999","GTEx Coexpression,0.1301"
"MAFF","-0.04095022098736879","-0.04095022098736879","0.04095022098736879","Repressed","260","viper","260","0.04095022098736879",NA,NA,"5","ENCODE--ChIP-seq(rank=90); ReMap--ChIP-seq(rank=145); Enrichr--Queries(rank=154); GTEx--Coexpression(rank=664); ARCHS4--Coexpression(rank=999)","414","0.10970000000000001","Enrichr Queries,0.1097"
"CTCF","0.02781258028453608","0.02781258028453608","0.02781258028453608","Activated","261","viper","261","0.02781258028453608",NA,NA,"6","ENCODE--ChIP-seq(rank=10); ARCHS4--Coexpression(rank=12); ReMap--ChIP-seq(rank=49); Literature--ChIP-seq(rank=90); Enrichr--Queries(rank=317); GTEx--Coexpression(rank=698)","23","0.00737100000000000","ARCHS4 Coexpression,0.007371"
"TCF7L2","-0.02135304405487348","-0.02135304405487348","0.02135304405487348","Repressed","262","viper","262","0.02135304405487348",NA,NA,"6","ENCODE--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=116); Literature--ChIP-seq(rank=130); ARCHS4--Coexpression(rank=609); GTEx--Coexpression(rank=661); Enrichr--Queries(rank=727)","1133","0.37409999999999999","ARCHS4 Coexpression,0.3741"
"TBX21","0.01657881052132954","0.01657881052132954","0.01657881052132954","Activated","263","viper","263","0.01657881052132954",NA,NA,"4","ReMap--ChIP-seq(rank=211); ARCHS4--Coexpression(rank=624); Enrichr--Queries(rank=884); GTEx--Coexpression(rank=949)","1147","0.38329999999999997","ARCHS4 Coexpression,0.3833"
