"Cancer","Target_Gene","Target_Feature_ID","Sample_ID","Patient_ID","Expression_Assay","Expression_Log2_Transformed","Target_Expression_Value","Median_Cutoff","Median_Group_For_GSEA_Heatmap"
"COAD","ATF3","ENSG00000162772.16","TCGA-D5-6540-01A","TCGA-D5-6540","tpm",TRUE,"4.615430048463288","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-G4-6302-01A","TCGA-G4-6302","tpm",TRUE,"5.732573060603140","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AY-A69D-01A","TCGA-AY-A69D","tpm",TRUE,"6.002967975682536","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-A029-01A","TCGA-AA-A029","tpm",TRUE,"6.258157020481815","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3862-01A","TCGA-AA-3862","tpm",TRUE,"4.719151848894052","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-DM-A28C-01A","TCGA-DM-A28C","tpm",TRUE,"5.348368587807090","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3852-01A","TCGA-AA-3852","tpm",TRUE,"4.307706574829409","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-A004-01A","TCGA-AA-A004","tpm",TRUE,"3.034194216464215","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3660-01A","TCGA-AA-3660","tpm",TRUE,"3.799161584987727","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-D5-5538-01A","TCGA-D5-5538","tpm",TRUE,"3.746377948432353","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-NH-A6GC-01A","TCGA-NH-A6GC","tpm",TRUE,"3.812305083602919","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-D5-6538-01A","TCGA-D5-6538","tpm",TRUE,"3.057281267032788","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-D5-6534-01A","TCGA-D5-6534","tpm",TRUE,"5.438884940178226","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-G4-6310-01A","TCGA-G4-6310","tpm",TRUE,"4.549434828419217","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AZ-6601-01A","TCGA-AZ-6601","tpm",TRUE,"3.478956564529689","4.167970022842355","Low"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3680-01A","TCGA-AA-3680","tpm",TRUE,"4.432771928342916","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-CM-5349-01A","TCGA-CM-5349","tpm",TRUE,"4.792488985447023","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-A6-3807-01A","TCGA-A6-3807","tpm",TRUE,"5.818742338720478","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-A6-6648-01A","TCGA-A6-6648","tpm",TRUE,"4.426929392410178","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-3524-01A","TCGA-AA-3524","tpm",TRUE,"5.042272272184752","4.167970022842355","High"
"COAD","ATF3","ENSG00000162772.16","TCGA-AA-A00U-01A","TCGA-AA-A00U","tpm",TRUE,"4.741208302632210","4.167970022842355","High"
