"GeneID","Symbol","Ensembl","Entrez","Target_Gene","Target_Feature_ID","Correlation_Method","Correlation","P.Value","adj.P.Val","Samples_Used"
"ENSG00000198873.11","GRK5","ENSG00000198873.11","2869","ATF3","ENSG00000162772.16","spearman","0.37468872131663538693758","0.00000000000000000000000000012498810533656653902152322995284704011237987487948549096331982022243064405289669771548233256908133625984191894531250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000009796561869328786434603329015526782828053084012742832398531603197307013179175039230273114299052394926548004150390625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000090621.13","PABPC4","ENSG00000090621.13","8761","ATF3","ENSG00000162772.16","spearman","0.37468438638798962081466","0.00000000000000000000000000012518215279358820522318861100970347574399179925556285151891353296901435241793992814152147730055730789899826049804687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000009804153465103424266667795993651191979839501663080842984042394130608398181148110950289265019819140434265136718750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000176697.18","BDNF","ENSG00000176697.18","627","ATF3","ENSG00000162772.16","spearman","0.37466585841885391428008","0.00000000000000000000000000012601490123229294058264893072654309596187836328256544037062890267763002526092350197295388625207124277949333190917968750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000009865543780991501652956203657778419981223970362177105456001751863805607320641322122156680052285082638263702392578125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000156973.13","PDE6D","ENSG00000156973.13","5147","ATF3","ENSG00000162772.16","spearman","0.37461764609061609654361","0.00000000000000000000000000012820762415835065081219647453559395411339527092604384301808921729757201953426443141736967845645267516374588012695312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000010033315816116076788046734504292606747970849848381138123160485644034013177038067166080281822360120713710784912109375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000101216.10","GMEB2","ENSG00000101216.10","26205","ATF3","ENSG00000162772.16","spearman","0.37453669074803885852276","0.00000000000000000000000000013197481375564894742767089794917085193913582927415961018555335021261748794157639408375359835190465673804283142089843750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000010320123517520223076363260637075136780660434319329515898617419257488839884340237063042877707630395889282226562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000107957.16","SH3PXD2A","ENSG00000107957.16","9644","ATF3","ENSG00000162772.16","spearman","0.37451877891089341288122","0.00000000000000000000000000013282302173206008265608933391527427136435165113327051737729338411553362653922880087797864234744338318705558776855468750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000010378406132627079645707355730064938199365968969424501440749711476844451582372819142818798354710452258586883544921875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000162885.12","B3GALNT2","ENSG00000162885.12","148789","ATF3","ENSG00000162772.16","spearman","0.37448568382113089914043","0.00000000000000000000000000013440445237132043426015122581262819138884556692197550739781996861558802341778118272230813090573064982891082763671875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000010493846078140053121790080572005731941599312617597996853735927318042336518419399560286819905741140246391296386718750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000228623.5","ZNF883","ENSG00000228623.5","169834","ATF3","ENSG00000162772.16","spearman","0.37447606776114011895018","0.00000000000000000000000000013486743625384368724107948705897297122160229221940942136438918281441208595018352300876074423285899683833122253417968750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000010521850450198362140819556906160127096813066294208129670580352104389612599710801532637560740113258361816406250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000102174.8","PHEX","ENSG00000102174.8","5251","ATF3","ENSG00000162772.16","spearman","0.37446480340760163185720","0.00000000000000000000000000013541178924970352333727201008374728231796834270104737399999144298882854201568695651225482379231834784150123596191406250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000010560235207239152045621191543439352004561616179941035950709149208290082771685702844877141615143045783042907714843750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000204856.11","FAM216A","ENSG00000204856.11","29902","ATF3","ENSG00000162772.16","spearman","0.37445179656166666104511","0.00000000000000000000000000013604305561218236858162524990973330674919089899858945025014736386932102468966601649391634509811410680413246154785156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000010605365714744124288581868696224337728269800739923682466070288648144579889305572084623463524621911346912384033203125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000130589.16","HELZ2","ENSG00000130589.16","85441","ATF3","ENSG00000162772.16","spearman","0.37440199989402533908844","0.00000000000000000000000000013848690654013126680943265841699500297440890821052671180756270526165739560104858685285478259174851700663566589355468750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000010787541851147290107408194027424997906196438204954265322567522442162099983835321648228955382364802062511444091796875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000099999.14","RNF215","ENSG00000099999.14","200312","ATF3","ENSG00000162772.16","spearman","0.37439326402259198722788","0.00000000000000000000000000013892009312914583545036287651587936771321392039002031810502551653630282286512598322048006593831814825534820556640625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000010817108756775443059306250119058243979548601319218998562732659697691213473991211913016741164028644561767578125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000144199.11","FAHD2B","ENSG00000144199.11","151313","ATF3","ENSG00000162772.16","spearman","0.37436173126751909334686","0.00000000000000000000000000014049490311314013665187428305349596429764278447987027279982976658473458697693608820955546434561256319284439086914062500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000010935511845322540523936346975555772737766769171423643673099958417492433043922972490946676771272905170917510986328125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000170876.7","TMEM43","ENSG00000170876.7","79188","ATF3","ENSG00000162772.16","spearman","0.37434982671727873304590","0.00000000000000000000000000014109402620457545503782340536103048542901424951539266828067036042284546765168684601121640298515558242797851562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000010977909674806440388838294605654922677548906844705857318204249390411326417656134868394701697980053722858428955078125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000184787.18","UBE2G2","ENSG00000184787.18","7327","ATF3","ENSG00000162772.16","spearman","0.37434320329838338681228","0.00000000000000000000000000014142845919608537140144481711139667567272368722975414420832469586705191025039624053150077997997868806123733520507812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000010999290611044939569256765601071168843170370610424527477155914105916043412881910601441859398619271814823150634765625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000166448.14","TMEM130","ENSG00000166448.14","222865","ATF3","ENSG00000162772.16","spearman","0.37434222614793655203869","0.00000000000000000000000000014147786436511333710422582593058629289626960004498921413098865696274041665533860445691516360966488718986511230468750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000010999290611044939569256765601071168843170370610424527477155914105916043412881910601441859398619271814823150634765625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000140488.15","CELF6","ENSG00000140488.15","60677","ATF3","ENSG00000162772.16","spearman","0.37432863617775657960607","0.00000000000000000000000000014216675366551948398025310958095193687670518050887962550469857121942997036116371201153185666044009849429130554199218750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000011044336754724125220913161929666836603158230952822071817630995709936693048754119406140716819209046661853790283203125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
"ENSG00000168754.14","FAM178B","ENSG00000168754.14","51252","ATF3","ENSG00000162772.16","spearman","0.37422706241821951378412","0.00000000000000000000000000014742190448355025530173137367999015835214336939456378532958020520776992772415611709924121441872557625174522399902343750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.0000000000000000000000000011439372780598563569039734710335351863958225539460419574123326778670732182217883998731622341438196599483489990234375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","817"
