"TF","MVL_ALL","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"FOXP2","0.153007337049375497","0.153007337049375497","0.153007337049375497","Activated","237","viper","237","0.153007337049375497",NA,NA,"6","Enrichr--Queries(rank=71); ENCODE--ChIP-seq(rank=113); Literature--ChIP-seq(rank=126); ReMap--ChIP-seq(rank=171); GTEx--Coexpression(rank=310); ARCHS4--Coexpression(rank=360)","235","0.05057000000000000","Enrichr Queries,0.05057"
"FOS","0.144792900528057600","0.144792900528057600","0.144792900528057600","Activated","238","viper","238","0.144792900528057600",NA,NA,"5","ENCODE--ChIP-seq(rank=64); ReMap--ChIP-seq(rank=78); Enrichr--Queries(rank=785); ARCHS4--Coexpression(rank=843); GTEx--Coexpression(rank=1101)","968","0.26260000000000000","ReMap ChIP-seq,0.2626"
"STAT3","0.142638872335113409","0.142638872335113409","0.142638872335113409","Activated","239","viper","239","0.142638872335113409",NA,NA,"6","Literature--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=19); ENCODE--ChIP-seq(rank=37); GTEx--Coexpression(rank=633); ARCHS4--Coexpression(rank=684); Enrichr--Queries(rank=931)","148","0.03049000000000000","Literature ChIP-seq,0.03049"
"NFKB1","0.141560566843129371","0.141560566843129371","0.141560566843129371","Activated","240","viper","240","0.141560566843129371",NA,NA,"4","ReMap--ChIP-seq(rank=157); Enrichr--Queries(rank=299); GTEx--Coexpression(rank=637); ARCHS4--Coexpression(rank=766)","823","0.21299999999999999","Enrichr Queries,0.213"
"TP53","-0.121114418831042958","-0.121114418831042958","0.121114418831042958","Repressed","241","viper","241","0.121114418831042958",NA,NA,"5","Literature--ChIP-seq(rank=13); Enrichr--Queries(rank=38); GTEx--Coexpression(rank=45); ReMap--ChIP-seq(rank=51); ARCHS4--Coexpression(rank=503)","134","0.02707000000000000","Enrichr Queries,0.02707"
"MAFF","-0.120156157441658612","-0.120156157441658612","0.120156157441658612","Repressed","242","viper","242","0.120156157441658612",NA,NA,"5","ENCODE--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=137); Enrichr--Queries(rank=714); GTEx--Coexpression(rank=1424); ARCHS4--Coexpression(rank=1617)","1344","0.46129999999999999","ReMap ChIP-seq,0.4613"
"LHX2","-0.114688162888328241","-0.114688162888328241","0.114688162888328241","Repressed","243","viper","243","0.114688162888328241",NA,NA,"4","GTEx--Coexpression(rank=15); ReMap--ChIP-seq(rank=250); ARCHS4--Coexpression(rank=1151); Enrichr--Queries(rank=1182)","45","0.00933400000000000","GTEx Coexpression,0.009334"
"PAX5","-0.112695455640569167","-0.112695455640569167","0.112695455640569167","Repressed","244","viper","244","0.112695455640569167",NA,NA,"5","ENCODE--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=95); ReMap--ChIP-seq(rank=112); GTEx--Coexpression(rank=585); Enrichr--Queries(rank=683)","265","0.05835000000000000","ARCHS4 Coexpression,0.05835"
"IRF2","-0.108339959740816394","-0.108339959740816394","0.108339959740816394","Repressed","245","viper","245","0.108339959740816394",NA,NA,"4","ReMap--ChIP-seq(rank=97); Enrichr--Queries(rank=315); ARCHS4--Coexpression(rank=734); GTEx--Coexpression(rank=812)","861","0.22439999999999999","Enrichr Queries,0.2244"
"BACH1","-0.106224757024597841","-0.106224757024597841","0.106224757024597841","Repressed","246","viper","246","0.106224757024597841",NA,NA,"6","ENCODE--ChIP-seq(rank=85); Literature--ChIP-seq(rank=105); ReMap--ChIP-seq(rank=140); Enrichr--Queries(rank=1070); ARCHS4--Coexpression(rank=1205); GTEx--Coexpression(rank=1416)","1360","0.47139999999999999","ReMap ChIP-seq,0.4714"
"GATA1","0.105150971322425332","0.105150971322425332","0.105150971322425332","Activated","247","viper","247","0.105150971322425332",NA,NA,"6","ENCODE--ChIP-seq(rank=43); Literature--ChIP-seq(rank=54); ReMap--ChIP-seq(rank=89); Enrichr--Queries(rank=264); ARCHS4--Coexpression(rank=361); GTEx--Coexpression(rank=489)","750","0.18800000000000000","Enrichr Queries,0.188"
"SOX6","0.090115264032518363","0.090115264032518363","0.090115264032518363","Activated","248","viper","248","0.090115264032518363",NA,NA,"4","ReMap--ChIP-seq(rank=280); Enrichr--Queries(rank=744); ARCHS4--Coexpression(rank=1127); GTEx--Coexpression(rank=1464)","1418","0.52990000000000004","Enrichr Queries,0.5299"
"XBP1","0.087764868644812449","0.087764868644812449","0.087764868644812449","Activated","249","viper","249","0.087764868644812449",NA,NA,"4","ReMap--ChIP-seq(rank=47); ARCHS4--Coexpression(rank=86); GTEx--Coexpression(rank=257); Enrichr--Queries(rank=820)","242","0.05283000000000000","ARCHS4 Coexpression,0.05283"
"NR5A2","-0.081169460022099654","-0.081169460022099654","0.081169460022099654","Repressed","250","viper","250","0.081169460022099654",NA,NA,"4","ARCHS4--Coexpression(rank=124); ReMap--ChIP-seq(rank=256); GTEx--Coexpression(rank=432); Enrichr--Queries(rank=881)","339","0.07617000000000000","ARCHS4 Coexpression,0.07617"
"SIX5","0.079919134348240883","0.079919134348240883","0.079919134348240883","Activated","251","viper","251","0.079919134348240883",NA,NA,"5","ENCODE--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=194); ARCHS4--Coexpression(rank=553); Enrichr--Queries(rank=1018); GTEx--Coexpression(rank=1376)","1048","0.29659999999999992","ENCODE ChIP-seq,0.2966"
"HIF1A","-0.076979679748138963","-0.076979679748138963","0.076979679748138963","Repressed","252","viper","252","0.076979679748138963",NA,NA,"5","Enrichr--Queries(rank=104); Literature--ChIP-seq(rank=144); ReMap--ChIP-seq(rank=175); ARCHS4--Coexpression(rank=1029); GTEx--Coexpression(rank=1453)","331","0.07407000000000000","Enrichr Queries,0.07407"
"IRF4","0.074207665268714099","0.074207665268714099","0.074207665268714099","Activated","253","viper","253","0.074207665268714099",NA,NA,"5","ENCODE--ChIP-seq(rank=88); ReMap--ChIP-seq(rank=108); GTEx--Coexpression(rank=142); Enrichr--Queries(rank=195); ARCHS4--Coexpression(rank=622)","383","0.08835999999999999","GTEx Coexpression,0.08836"
"ELF3","0.069742483094652363","0.069742483094652363","0.069742483094652363","Activated","254","viper","254","0.069742483094652363",NA,NA,"4","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=410); ARCHS4--Coexpression(rank=489); Enrichr--Queries(rank=727)","15","0.00336700000000000","ReMap ChIP-seq,0.003367"
"RELA","-0.051509947869867470","-0.051509947869867470","0.051509947869867470","Repressed","255","viper","255","0.051509947869867470",NA,NA,"6","ENCODE--ChIP-seq(rank=50); Literature--ChIP-seq(rank=110); Enrichr--Queries(rank=129); ReMap--ChIP-seq(rank=153); GTEx--Coexpression(rank=668); ARCHS4--Coexpression(rank=859)","396","0.09188000000000000","Enrichr Queries,0.09188"
"FOXO4","-0.043134236020118129","-0.043134236020118129","0.043134236020118129","Repressed","256","viper","256","0.043134236020118129",NA,NA,"3","Enrichr--Queries(rank=67); ARCHS4--Coexpression(rank=1197); GTEx--Coexpression(rank=1339)","223","0.04772000000000000","Enrichr Queries,0.04772"
"MAFK","-0.028343956532532119","-0.028343956532532119","0.028343956532532119","Repressed","257","viper","257","0.028343956532532119",NA,NA,"5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=79); Enrichr--Queries(rank=837); ARCHS4--Coexpression(rank=1141); GTEx--Coexpression(rank=1265)","83","0.01695000000000000","ENCODE ChIP-seq,0.01695"
"STAT4","-0.026973496452136068","-0.026973496452136068","0.026973496452136068","Repressed","258","viper","258","0.026973496452136068",NA,NA,"4","Literature--ChIP-seq(rank=108); GTEx--Coexpression(rank=639); ARCHS4--Coexpression(rank=742); Enrichr--Queries(rank=754)","1257","0.39760000000000001","GTEx Coexpression,0.3976"
"SP4","0.020707720710874653","0.020707720710874653","0.020707720710874653","Activated","259","viper","259","0.020707720710874653",NA,NA,"5","ENCODE--ChIP-seq(rank=97); GTEx--Coexpression(rank=109); ReMap--ChIP-seq(rank=143); Enrichr--Queries(rank=778); ARCHS4--Coexpression(rank=1315)","308","0.06783000000000000","GTEx Coexpression,0.06783"
"HBP1","0.012234439885478270","0.012234439885478270","0.012234439885478270","Activated","260","viper","260","0.012234439885478270",NA,NA,"4","Enrichr--Queries(rank=74); ReMap--ChIP-seq(rank=87); ARCHS4--Coexpression(rank=377); GTEx--Coexpression(rank=785)","241","0.05271000000000000","Enrichr Queries,0.05271"
"TWIST1","-0.009920734070191011","-0.009920734070191011","0.009920734070191011","Repressed","261","viper","261","0.009920734070191011",NA,NA,"4","ARCHS4--Coexpression(rank=23); ReMap--ChIP-seq(rank=269); Enrichr--Queries(rank=583); GTEx--Coexpression(rank=1568)","68","0.01413000000000000","ARCHS4 Coexpression,0.01413"
"NR2F1","-0.008602412252165868","-0.008602412252165868","0.008602412252165868","Repressed","262","viper","262","0.008602412252165868",NA,NA,"4","GTEx--Coexpression(rank=40); ReMap--ChIP-seq(rank=203); Enrichr--Queries(rank=969); ARCHS4--Coexpression(rank=1026)","122","0.02489000000000000","GTEx Coexpression,0.02489"
