"Input_Type","TF_Analysis_Name","Intersection_Name","ATF3_Found_In_Top_Candidates","Consensus_Rank","Required_Methods","Number_Of_Methods","Source_Method_Count","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Integrated_TopRank","Result_File"
"INTERSECT","DLD1_HCT15_SW48","CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15_SW48/intersections/CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST/candidates/top10_tf_candidates.csv"
"INTERSECT","DLD1_HCT15_SW48","CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI",TRUE,4,"DoRothEA;TRRUST;CollecTRI",3,6,29.6666666666667,6,177,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15_SW48/intersections/CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI/candidates/top10_tf_candidates.csv"
"INTERSECT","DLD1_HCT15_SW48","DOROTHEA_CHEA3_VIPER",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15_SW48/intersections/DOROTHEA_CHEA3_VIPER/candidates/top10_tf_candidates.csv"
"INTERSECT","DLD1_HCT15_SW48","ENRICHR_TRRUST_COLLECTRI",TRUE,3,"ENRICHR;TRRUST;CollecTRI",3,6,23.3333333333333,6,177,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15_SW48/intersections/ENRICHR_TRRUST_COLLECTRI/candidates/top10_tf_candidates.csv"
"INTERSECT","DLD1_HCT15_SW48","LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15_SW48/intersections/LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST/candidates/top10_tf_candidates.csv"
"INTERSECT","DLD1_HCT15_SW48","ORA_METHODS_DOROTHEA_TRRUST",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15_SW48/intersections/ORA_METHODS_DOROTHEA_TRRUST/candidates/top10_tf_candidates.csv"
"INTERSECT","DLD1_HCT15_SW48","SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15_SW48/intersections/SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI/candidates/top10_tf_candidates.csv"
"INTERSECT","DLD1_HCT15_SW48","WITHOUT_CHEA3",TRUE,10,"DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI",5,6,60.4,6,177,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15_SW48/intersections/WITHOUT_CHEA3/candidates/top10_tf_candidates.csv"
"INTERSECT","DLD1_HCT15","ACTIVITY_METHODS_VIPER_COLLECTRI",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15/intersections/ACTIVITY_METHODS_VIPER_COLLECTRI/candidates/top10_tf_candidates.csv"
"INTERSECT","DLD1_HCT15","ALL_6_METHODS",TRUE,5,"DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI",6,6,38.6666666666667,1,1,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15/intersections/ALL_6_METHODS/candidates/top10_tf_candidates.csv"
